mark,title,,,,,,,,,,,,,,,,,,
0,international transfer,,,,,,,,,,,,,,,,,,
0,links to other sites,,,,,,,,,,,,,,,,,,
7,children‚Äôs privacy,,,,,,,,,,,,,,,,,,
9,changes to this privacy policy,,,,,,,,,,,,,,,,,,
11,contact us,,,,,,0,children‚Äôs privacy,,,,,,,,,,,
14,disclosure of personal information to third parties,,,,,,,,,,,,,,,,,,
3,international transfers of personal information,,,,,,,,,,,,,,,,,,
6,your rights and controlling your personal information,,,,,,,,,,,,,,,,,,
2,use of cookies,,,,,,,,,,,,,,,,,,
0,limits of our policy,,,,,,,,,,,,,,,,,,
9,changes to this policy,,,,,,,,,,,,,,,,,,
11,contact us,,,,,,,,,,,,,,,,,,
0,domains,,,,,,,,,,,,,,,,,,
0,hosting,,,,,,,,,,,,,,,,,,
4,security,,,,,,,,,,,,,,,,,,
0,account,,,,,,,,,,,,,,,,,,
0,legitimate reasons for processing your personal information,,,,,,,,,,,,,,,,,,
1,collection and use of information,,,,,,,,,,,,,,,,,,
4,security of your personal information,,,,,,,,,,,,,,,,,,
12,how long we keep your personal information,,,,,,,0,akvelon privacy policy,,,,,,,,,,
1,INFORMATION WE COLLECT FROM YOU,,,,,,,,,,,,,,,,,,
2,COOKIES,,,,,,,,,,,,,,,,,,
13,USES MADE OF THE INFORMATION,,,,,,,,,,,,,,,,,,
3,DISCLOSURE OF YOUR INFORMATION,,,,,,,,,,,,,,,,,,
4,WHERE WE STORE YOUR PERSONAL DATA,,,,,,,,,,,,,,,,,,
6,YOUR RIGHTS,,,,,,,,,,,,,,,,,,
0,ACCESS TO INFORMATION,,,,,,,,,,,,,,,,,,
9,CHANGES TO OUR PRIVACY POLICY,,,,,,,,,,,,,,,,,,
11,CONTACT,,,,,,,,0,Assessment Platform,,,,,,,,,
1,Learning Management System,,,,,,,,,,,,,,,,,,
1,Human Resource Platform,,,,,,,,,,,,,,,,,,
1,Voice Over Systems,,,,,,,,,,,,,,,,,,
0,User Communications,,,,,,,,,,,,,,,,,,
1,Customer Accounts and Payments,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
1,Automatically Collected Information; Log information,,,,,,,,,,,,,,,,,,
0,Job Applicants,,,,,,,,,,,,,,,,,,
0,Customers,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
3,Corporate Transactions,,,,,,,,,,,,,,,,,,
3,Government Requests,,,,,,,,,,,,,,,,,,
4,Fraud Prevention and Security,,,,,,,,,,,,,,,,,,
0,Our Platforms,,,,,,,,,,,,,,,,,,
0,AB 1584:,,,,,,,,,,,,,,,,,,
0,Certification,,,,,,,,,,,,,,,,,,
0,Partners,,,,,,,,,,,,,,,,,,
0,Membership,,,,,,,,,0,1. Grant of a Limited License.,,,,,,,,
6,2. No Ownership Rights.,,,,,,,,,,,,,,,,,,
0,3. Third-Party Software.,,,,,,,,,,,,,,,,,,
0,4. Third-Party Content.,,,,,,,,,,,,,,,,,,
6,5. Restrictions and Requirements. ,,,,,,,,,,,,,,,,,,
0,6. Modification and Order of Precedence.,,,,,,,,,,,,,,,,,,
1,7. Data Collection and Use.,,,,,,,,,,,,,,,,,,
0,8. Open Source.,,,,,,,,,,,,,,,,,,
11,9. Support,,,,,,,,,,,,,,,,,,
0,10. Termination,,,,,,,,,,,,,,,,,,
0,11. Additional Terms Incorporated by Reference.,,,,,,,,,,0,Information Collection and Use,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
0,Links to Other Sites,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,0,Authorization of Use,,,,,,
1,Personal Information We Collect,,,,,,,,,,,,,,,,,,
13,How We Use Personal Information,,,,,,,,,,,,,,,,,,
2,"Cookies, Pixel Tags/Web Beacons and Similar Technologies",,,,,,,,,,,,,,,,,,
3,Disclosing Personal Information to Others,,,,,,,,,,,,,,,,,,
12,Retaining Personal Information,,,,,,,,,,,,,,,,,,
4,Protecting Collected Information,,,,,,,,,,,,,,,,,,
9,Notification of Changes,,,,,,,,,,,,,,,,,,
6,Your Rights and Choices,,,,,,,,,,,,,,,,,,
8,International Customers,,,,,,,,,,,,,,,,,,
0,Opting Out of Technologies,,,,,,,,,,,,0,Definitions,,,,,
1,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Types of Data Collected ,,,,,,,,,,,,,,,,,,
13,Usage Data ,,,,,,,,,,,,,,,,,,
2,Tracking & Cookies Data ,,,,,,,,,,,,,,,,,,
13,Use of Data ,,,,,,,,,,,,,,,,,,
8,Transfer of Data ,,,,,,,,,,,,,,,,,,
3,Disclosure of Data ,,,,,,,,,,,,,,,,,,
4,Security of Data ,,,,,,,,,,,,,,,,,,
11,Service Providers ,,,,,,,,,,,,,,,,,,
0,Links to Other Sites ,,,,,,,,,,,,,,,,,,
7,Children's Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy ,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,0,children under the age of 13,,,,
15,information we collect and how we collect it,,,,,,,,,,,,,,,,,,
13,how we use your information.,,,,,,,,,,,,,,,,,,
3,disclosure of your information,,,,,,,,,,,,,,,,,,
6,"your choices about our collection, use and disclosure of your information",,,,,,,,,,,,,,,,,,
8,your california privacy rights,,,,,,,,,,,,,,,,,,
4,data security,,,,,,,,,,,,,,,,,,
9,changes to our privacy policy,,,,,,,,,,,,,,,,,,
11,contact information,,,,,,,,,,,,,,,,,,
1,information you provide to us,,,,,,,,,,,,,,,,,,
1,automatic information collection and tracking,,,,,,,,,,,,,,,,,,
0,information collection and tracking technologies,,,,,,,,,,,,,,,,,,
1,Personal identification information,,,,,,,,,,,,,,,,,,
1,Non-personal identification information,,,,,,,,,,,,,,,,,,
2,Web browser cookies,,,,,,,,,,,,,,,,,,
13,How we use collected information,,,,,,,,,,,,,,,,,,
0,To run and operate our Site,,,,,,,,,,,,,,,,,,
3,Sharing your personal information,,,,,,,,,,,,,,,,,,
0,Electronic newsletters,,,,,,,,,,,,,,,,,,
0,Third party websites,,,,,,,,,,,,,,,,,,
9,Changes to this privacy policy,,,,,,,,,,,,,,,,,,
6,Your acceptance of these terms,,,,,,,,,,,,,,,,,,
11,Contacting us,,,,,,,,,,,,,,0, Collecting Personal Information ,,,
13,Using Information,,,,,,,,,,,,,,,,,,
4,Protecting Information,,,,,,,,,,,,,,,,,,
2,Web Browser Cookies,,,,,,,,,,,,,,,,,,
3,Sharing Information,,,,,,,,,,,,,,,,,,
0,Third-Party Websites ,,,,,,,,,,,,,,,,,,
6,Your Consent,,,,,,,,,,,,,,,0,PERSONAL INFORMATION WE COLLECT,,
4,HOW DO WE PROTECT YOUR DATA?,,,,,,,,,,,,,,,,,,
13,HOW DO WE USE YOUR PERSONAL INFORMATION?,,,,,,,,,,,,,,,,,,
3,SHARING YOUR PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
0,DO NOT TRACK,,,,,,,,,,,,,,,,,,
12,DATA RETENTION,,,,,,,,,,,,,,,,,,
9,CHANGES,,,,,,,,,,,,,,,,,,
11,CONTACT US,,,,,,,,,,,,,,,,0,,
13,What we do with the information we gather.,,,,,,,,,,,,,,,,,,
4,Security.,,,,,,,,,,,,,,,,,,
2,How we use cookies,,,,,,,,,,,,,,,,,,
0,Links to other websites,,,,,,,,,,,,,,,,,,
1,Controlling your personal information,,,,,,,,,,,,,,,,0,Privacy Policy,
1,Personal identification information,,,,,,,,,,,,,,,,,,
1,Non-personal identification information,,,,,,,,,,,,,,,,,,
2,Web browser cookies,,,,,,,,,,,,,,,,,,
13,How we use collected information,,,,,,,,,,,,,,,,,,
4,How we protect your information,,,,,,,,,,,,,,,,,,
3,Sharing your personal information,,,,,,,,,,,,,,,,,,
9,Changes to this privacy policy,,,,,,,,,,,,,,,,,,
6,Your acceptance of these terms,,,,,,,,,,,,,,,,,,
11,Contacting us,,,,,,,,,,,,,,,,,,
13,how the personal data is used,,,,,,,,,,,,,,,,,,
7,prarent's consent,,,,,,,,,,,,,,,,,0,BAMBOO LEARNING PRIVACY POLICY
0,OUR PRIVACY PRINCIPLES,,,,,,,,,,,,,,,,,,
13,WHY WE COLLECT PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
15,WHAT INFORMATION WE COLLECT AND WHEN WE COLLECT IT,,,,,,,,,,,,,,,,,,
3,HOW WE MAY SHARE INFORMATION WE COLLECT,,,,,,,,,,,,,,,,,,
6,YOUR COMMUNICATION CHOICES,,,,,,,,,,,,,,,,,,
0,INTEGRITY OF YOUR PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
7,CHILDREN,,,,,,,,,,,,,,,,,,
4,OUR COMPANYWIDE COMMITMENT TO YOUR PRIVACY,,,,,,,,,,,,,,,,,,
1,"What personal information do we collect from the people that visit our blog, website or app?",,,,,,,,,,,,,,,,,,
0,When do we collect information?,,,,,,,,,,,,,,,,,,
13,How do we use your information? ,,,,,,,,,,,,,,,,,,
4,How do we protect your information?,,,,,,,,,,,,,,,,,,
2,Do we use 'cookies'?,,,,,,,,,,,,,,,,,,
3,Third-party disclosure,,,,,,,,,,,,,,,,,,
3,Third-party links,,,,,,,,,,,,,,,,,,
0,Google,,,,,,,,,,,,,,,,,,
8,California Online Privacy Protection Act,,,,,,,,,,,,,,,,,,
0,How does our site handle Do Not Track signals?,,,,,,,,,,,,,,,,,,
0,Does our site allow third-party behavioral tracking?,,,,,,,,,,,,,,,,,,
7,COPPA (Children Online Privacy Protection Act),,,,,,,,,,,,,,,,,,
0,Fair Information Practices,,,,,,,,,,,,,,,,,,
0,"In order to be in line with Fair Information Practices we will take the following responsive action, should a data breach occur:",,,,,,,,,,,,,,,,,,
13,We collect your email address in order to:,,,,,,,,,,,,,,,,,,
11,Contacting Us,,,,,,,,,,,,,,,,,,
1,What information do we collect?,,,,,,,,,,,,,,,,,,
13,What do we use your information for?,,,,,,,,,,,,,,,,,,
2,Do we use cookies?,,,,,,,,,,,,,,,,,,
3,Do we disclose any information to outside parties?,,,,,,,,,,,,,,,,,,
4,Data protection,,,,,,,,,,,,,,,,,,
7,Parent's consent,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
1,What personal data we collect and why we collect it,,,,,,,,,,,,,,,,,,
3,Who we share your data with,,,,,,,,,,,,,,,,,,
12,How long we retain your data,,,,,,,,,,,,,,,,,,
6,What rights you have over your data,,,,,,,,,,,,,,,,,,
3,Where we send your data,,,,,,,,,,,,,,,,,,
0,Additional information,,,,,,,,,,,,,,,,,,
11,Contact information,,,,,,,,,,,,,,,,,,
0,Privacy Policy,,,,,,,,,,,,,,,,,,
15,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
7,Children‚Äôs Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
0,Essential definitions,,,,,,,,,,,,,,,,,,
15,About the collection AND USE of your Personal Data,,,,,,,,,,,,,,,,,,
12,HOW LONG DO WE SAVE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
3,DO WE SHARE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
4,How do WE SECURE YOUR PERSONAL DATA?,,,,,,,,,,,,,,,,,,
3,About international transfers of your Personal Data,,,,,,,,,,,,,,,,,,
6,Your rights as a Data Subject,,,,,,,,,,,,,,,,,,
9,Policy updates,,,,,,,,,,,,,,,,,,
1,Types of personal information we collect,,,,,,,,,,,,,,,,,,
1,Information you provide to us,,,,,,,,,,,,,,,,,,
1,Information we collect automatically,,,,,,,,,,,,,,,,,,
1,Information we collect from other sources,,,,,,,,,,,,,,,,,,
13,Use of information,,,,,,,,,,,,,,,,,,
3,Transfer of information to the U.S. and other countries,,,,,,,,,,,,,,,,,,
3,Sharing of information,,,,,,,,,,,,,,,,,,
3,Third party advertising and analytics services,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
6,Your choices,,,,,,,,,,,,,,,,,,
1,Account information and access your information,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
1,Location information,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
9,How might this privacy notice be changed?,,,,,,,,,,,,,,,,,,
11,Contact information,,,,,,,,,,,,,,,,,,
15,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
3,Links to Other Sites,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
13,purposes of processing your personal information,,,,,,,,,,,,,,,,,,
1,Information Collection and Use,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
0,Links to Other Sites,,,,,,,,,,,,,,,,,,
7,Children’s Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
1,Information Collection And Use,,,,,,,,,,,,,,,,,,
1,Types of Data Collected,,,,,,,,,,,,,,,,,,
13,Use of Data,,,,,,,,,,,,,,,,,,
3,Transfer Of Data,,,,,,,,,,,,,,,,,,
3,Disclosure Of Data,,,,,,,,,,,,,,,,,,
4,Security Of Data,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
9,Changes To This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
9,Updates to this policy,,,,,,,,,,,,,,,,,,
0,Notice to Particle Employees and Contractors,,,,,,,,,,,,,,,,,,
8,Notice to California Residents,,,,,,,,,,,,,,,,,,
8,Notice to European Union Residents,,,,,,,,,,,,,,,,,,
2,Notice regarding use of Cookies,,,,,,,,,,,,,,,,,,
11,Contacting Particle’s Data Privacy Officer,,,,,,,,,,,,,,,,,,
0,Making a privacy request,,,,,,,,,,,,,,,,,,
6,Your rights in regards to personally identifiable information,,,,,,,,,,,,,,,,,,
12,Retention of information,,,,,,,,,,,,,,,,,,
3,Storage of and transfer of personally identifiable information,,,,,,,,,,,,,,,,,,
4,Security of personally identifiable information,,,,,,,,,,,,,,,,,,
0,Responding to legal requests for information,,,,,,,,,,,,,,,,,,
4,Disclosure of personal information,,,,,,,,,,,,,,,,,,
10,How Particle collects personally identifiable information,,,,,,,,,,,,,,,,,,
1,Types of personally identifiable information collected,,,,,,,,,,,,,,,,,,
1,Legal basis for collection of personally identifiable information,,,,,,,,,,,,,,,,,,
0,Overview,,,,,,,,,,,,,,,,,,
1,Types of Information We Collect,,,,,,,,,,,,,,,,,,
10,How We Collect Information,,,,,,,,,,,,,,,,,,
13,How We Use the Information We Collect,,,,,,,,,,,,,,,,,,
3,How We Share Your Personal Information,,,,,,,,,,,,,,,,,,
4,Security of your personal information,,,,,,,,,,,,,,,,,,
7,Children’s information,,,,,,,,,,,,,,,,,,
9,Changes to this statement,,,,,,,,,,,,,,,,,,
11,Contact information,,,,,,,,,,,,,,,,,,
6,Foreign Rights - Your rights to your information,,,,,,,,,,,,,,,,,,
7,Privacy Statement for California Residents,,,,,,,,,,,,,,,,,,
1,"Information Collection, Use, and Deletion",,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
11,Service Providers,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
0,Links to Other Sites,,,,,,,,,,,,,,,,,,
7,Children’s Privacy,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
1,1. What personal data we will process,,,,,,,,,,,,,,,,,,
13,2. For what purposes do we use personal data and on what legal basis,,,,,,,,,,,,,,,,,,
3,3. Who has access to your personal data,,,,,,,,,,,,,,,,,,
12,4. Period for which we will process your personal data,,,,,,,,,,,,,,,,,,
4,5. How we secure your personal data,,,,,,,,,,,,,,,,,,
0,About this document,,,,,,,,,,,,,,,,,,
0,Principles,,,,,,,,,,,,,,,,,,
13,How we use your data,,,,,,,,,,,,,,,,,,
3,Data sharing,,,,,,,,,,,,,,,,,,
13,Why are we collecting personal information?,,,,,,,,,,,,,,,,,,
1,What personal information do we collect?,,,,,,,,,,,,,,,,,,
13,On what grounds do we process data?,,,,,,,,,,,,,,,,,,
3,Who receives your personal information?,,,,,,,,,,,,,,,,,,
4,Where is your personal data processed?,,,,,,,,,,,,,,,,,,
13,How is your data processed?,,,,,,,,,,,,,,,,,,
12,How long is the data kept?,,,,,,,,,,,,,,,,,,
6,What rights do I have?,,,,,,,,,,,,,,,,,,
6,How do I request data deletion?,,,,,,,,,,,,,,,,,,
6,How do I request data correction?,,,,,,,,,,,,,,,,,,
6,How do I request data access?,,,,,,,,,,,,,,,,,,
6,How can I export my data?,,,,,,,,,,,,,,,,,,
0,In-app payment,,,,,,,,,,,,,,,,,,
1,1.1.   Personal Information,,,,,,,,,,,,,,,,,,
1,1.2.   Non-Personal Information,,,,,,,,,,,,,,,,,,
1,1.4.   Customer Service Communications Information,,,,,,,,,,,,,,,,,,
0,1.5.   Other Information,,,,,,,,,,,,,,,,,,
1,2.     Mode of Collection of Information,,,,,,,,,,,,,,,,,,
13,3.     Use of Information,,,,,,,,,,,,,,,,,,
2,4.     Cookies and Tracking Technology,,,,,,,,,,,,,,,,,,
0,5.     Links to other websites,,,,,,,,,,,,,,,,,,
4,6.     Data Security,,,,,,,,,,,,,,,,,,
6,7.     Obligations of visitors/customers/users,,,,,,,,,,,,,,,,,,
6,10.  Your Consent,,,,,,,,,,,,,,,,,,
9,11.  Changes to this Policy,,,,,,,,,,,,,,,,,,
11,Our Contact Information,,,,,,,,,,,,,,,,,,
1,"
Personal Information Protection Principles",,,,,,,,,,,,,,,,,,
13,2. Identifying Purposes,,,,,,,,,,,,,,,,,,
0,1. Accountability,,,,,,,,,,,,,,,,,,
0,"
5. Accuracy",,,,,,,,,,,,,,,,,,
6,"
8. Individual Access",,,,,,,,,,,,,,,,,,
1,INFORMATION WE COLLECT AND HOW WE USE IT,,,,,,,,,,,,,,,,,,
3,PARTICIPATING MERCHANT AND THIRD-PARTY VENDOR POLICIES,,,,,,,,,,,,,,,,,,
7,UNDER 13 POLICY,,,,,,,,,,,,,,,,,,
9,CHANGES TO THIS PRIVACY POLICY,,,,,,,,,,,,,,,,,,
11,CONTACT US,,,,,,,,,,,,,,,,,,
1,NOTICE ON DISCLOSURE OF USER PERSONAL INFORMATION,,,,,,,,,,,,,,,,,,
11,Contact Us,,,,,,,,,,,,,,,,,,
9,Changes to This Privacy Policy,,,,,,,,,,,,,,,,,,
7,Children’s Privacy,,,,,,,,,,,,,,,,,,
4,Security,,,,,,,,,,,,,,,,,,
2,Cookies,,,,,,,,,,,,,,,,,,
1,Log Data,,,,,,,,,,,,,,,,,,
1,Information Collection and Use,,,,,,,,,,,,,,,,,,
0,"Privacy Compliance Certification
",,,,,,,,,,,,,,,,,,
1,Collection of your Personal Information,,,,,,,,,,,,,,,,,,
13,Use of your Personal Information,,,,,,,,,,,,,,,,,,
3,Sharing Information with Third Parties,,,,,,,,,,,,,,,,,,
1,Automatically Collected Information,,,,,,,,,,,,,,,,,,
4,Security of your Personal Information,,,,,,,,,,,,,,,,,,
7,Children Under Thirteen,,,,,,,,,,,,,,,,,,
13,E-mail Communications,,,,,,,,,,,,,,,,,,
1,1. Information We Collects,,,,,,,,,,,,,,,,,,
2,Cookies and Other Web Technologies,,,,,,,,,,,,,,,,,,
3,Collection of Your Personal Information by Third-Party Services,,,,,,,,,,,,,,,,,,
3,We Are Not Responsible for Content on Third Party Websites,,,,,,,,,,,,,,,,,,
13,"We May Use and Disclose Your Personal Information to Provide, Improve, and Promote Our Services",,,,,,,,,,,,,,,,,,
13,We May Use and Disclose Your Information for Our Protection and the Protection of Others,,,,,,,,,,,,,,,,,,
6,"You May Access, Modify, and Rectify Your Information",,,,,,,,,,,,,,,,,,
0,Your Account May Deleted Upon Your Request,,,,,,,,,,,,,,,,,,
6,9. Communications and Opt-Out (Right to Object to Processing),,,,,,,,,,,,,,,,,,
3,10. International Transfer,,,,,,,,,,,,,,,,,,
4,11. We Take Security Seriously,,,,,,,,,,,,,,,,,,
6,12. You Are Responsible for Maintaining the Accuracy and Confidentiality of Your Email Address and Password,,,,,,,,,,,,,,,,,,
9,13. We Post Updates on Our Website Whenever This Policy Changes,,,,,,,,,,,,,,,,,,
7,14. Our Policy Toward Children,,,,,,,,,,,,,,,,,,
11,15. Contact Us if You Have Any Questions or Concerns,,,,,,,,,,,,,,,,,,
1,Information and Uses,,,,,,,,,,,,,,,,,,
1,Information Placed on Your Computer,,,,,,,,,,,,,,,,,,
7,Information From Children,,,,,,,,,,,,,,,,,,
0,Hyperlinks,,,,,,,,,,,,,,,,,,
3,Dissemination of Information to Third Parties,,,,,,,,,,,,,,,,,,
6,Opt Out/Modify Information,,,,,,,,,,,,,,,,,,
0,"Conditions of Use, Notices and Revisions",,,,,,,,,,,,,,,,,,
3,Data Transfers,,,,,,,,,,,,,,,,,,
9,Updates to this Privacy Policy,,,,,,,,,,,,,,,,,,
13,Management of Personal Information,,,,,,,,,,,,,,,,,,
8,Your California Privacy Rights,,,,,,,,,,,,,,,,,,
0,Contacting Just Energy,,,,,,,,,,,,,,,,,,
0,Who we are,,,,,,,,,,,,,,,,,,
1,What personal information we collect,,,,,,,,,,,,,,,,,,
3,Sharing data with third-parties,,,,,,,,,,,,,,,,,,
12,How long we keep it,,,,,,,,,,,,,,,,,,
6,Right to be forgotten,,,,,,,,,,,,,,,,,,
8,Your Califonia Privacy Rights,,,,,,,,,,,,,,,,,,
1,Log Files,,,,,,,,,,,,,,,,,,
2,Cookies and Web Beacons,,,,,,,,,,,,,,,,,,
2,DoubleClick DART cookies,,,,,,,,,,,,,,,,,,
3,Third party links,,,,,,,,,,,,,,,,,,
7,Childrens Online Privacy Protection Act Compliance,,,,,,,,,,,,,,,,,,
6,Your Consent,,,,,,,,,,,,,,,,,,
0,Overview,,,,,,,,,,,,,,,,,,
0,Scope,,,,,,,,,,,,,,,,,,
0,Particle’s Role,,,,,,,,,,,,,,,,,,
1,Legal basis for collection of personally identifiable information,,,,,,,,,,,,,,,,,,
1,Types of personally identifiable information collected,,,,,,,,,,,,,,,,,,
10,How Particle collects personally identifiable information,,,,,,,,,,,,,,,,,,
3,Disclosure of personal information,,,,,,,,,,,,,,,,,,
13,Responding to legal requests for information,,,,,,,,,,,,,,,,,,
4,Security of personally identifiable information,,,,,,,,,,,,,,,,,,
3,Storage of and transfer of personally identifiable information,,,,,,,,,,,,,,,,,,
12,Retention of information,,,,,,,,,,,,,,,,,,
